title,text,subject,date
"Aliens Spotted in Delhi","People claim to see UFOs hovering over Delhi sky...","News","Jan 1, 2020"
"Miracle Weight Loss Pill","Lose 10kg in 3 days without exercise...","Health","Jan 2, 2020"
"Time Travel Machine Built","A scientist claims he built a time machine...","Science","Jan 3, 2020"
"Celebrity Drinks Only Water","Actor survives on water for 30 days...","Entertainment","Jan 4, 2020"
"Secret Government Project","Hidden lab found under ocean...","Politics","Jan 5, 2020"
"Man Talks to Animals","Claims he can communicate with dogs...","Science","Jan 6, 2020"
"Fake Moon Landing Proof","New evidence shows moon landing was fake...","News","Jan 7, 2020"
"Magic Cure for Diabetes","Herb cures diabetes instantly...","Health","Jan 8, 2020"
"Robot Becomes President","AI elected as president in secret vote...","Politics","Jan 9, 2020"
"Invisible Cloak Invented","Man becomes invisible using new tech...","Technology","Jan 10, 2020"
"Ghost Seen in Hospital","Security camera captures ghost...","News","Jan 11, 2020"
"Man Eats Only Air","Claims he doesn’t need food...","Health","Jan 12, 2020"
"Earth Will End Tomorrow","Prediction says world ends tomorrow...","News","Jan 13, 2020"
"Flying Cars Already Exist","Government hiding flying cars...","Technology","Jan 14, 2020"
"Snake with Two Heads Found","Strange animal discovered...","Science","Jan 15, 2020"
"Money Grows on Trees","Village grows currency on trees...","Business","Jan 16, 2020"
"Man Lives Without Sleep","No sleep for 1 year...","Health","Jan 17, 2020"
"Fake Vaccine Causes Superpowers","People claim superpowers...","Health","Jan 18, 2020"
"Alien Language Decoded","Scientists decode alien message...","Science","Jan 19, 2020"
"Underwater City Found","Lost city discovered...","News","Jan 20, 2020"
"Human Can Fly Naturally","Man develops wings...","Science","Jan 21, 2020"
"Celebrity Cloned","Actor cloned secretly...","Entertainment","Jan 22, 2020"
"Government Controls Weather","Rain is artificially created...","Politics","Jan 23, 2020"
"Talking Dog Wins Award","Dog gives speech...","Entertainment","Jan 24, 2020"
"Teleportation Device Ready","Travel instantly anywhere...","Technology","Jan 25, 2020"
"Immortality Achieved","Scientists discover eternal life...","Science","Jan 26, 2020"
"Fake Currency Flooding Market","Invisible notes detected...","Business","Jan 27, 2020"
"Brain Chips Control Humans","People controlled remotely...","Technology","Jan 28, 2020"
"Man Survives Without Oxygen","Lives underwater for hours...","Science","Jan 29, 2020"
"Fake News Detector Lies","Machine gives wrong output always...","Technology","Jan 30, 2020"
