title,text,subject,date
"Government Launches New Scheme","New policy aims to support farmers...","Politics","Jan 1, 2020"
"Scientists Discover New Virus","Research reveals new virus strain...","Science","Jan 2, 2020"
"Stock Market Rises","Markets close on positive note...","Business","Jan 3, 2020"
"New Smartphone Released","Company launches latest model...","Technology","Jan 4, 2020"
"Health Benefits of Yoga","Experts recommend daily yoga...","Health","Jan 5, 2020"
"Education Policy Updated","New reforms introduced...","Politics","Jan 6, 2020"
"Space Mission Success","Satellite successfully launched...","Science","Jan 7, 2020"
"Banking Sector Growth","Banks report profit increase...","Business","Jan 8, 2020"
"AI Improving Healthcare","Technology helps doctors...","Technology","Jan 9, 2020"
"Exercise Improves Health","Doctors suggest daily activity...","Health","Jan 10, 2020"
"Election Results Declared","New leader elected...","Politics","Jan 11, 2020"
"Climate Change Warning","Scientists warn rising temperatures...","Science","Jan 12, 2020"
"Startup Raises Funds","Company secures investment...","Business","Jan 13, 2020"
"Cybersecurity Awareness","Increase in cyber threats...","Technology","Jan 14, 2020"
"Balanced Diet Importance","Nutritionists recommend healthy food...","Health","Jan 15, 2020"
"Parliament Session Held","Discussion on national issues...","Politics","Jan 16, 2020"
"New Drug Approved","Medicine passes clinical trials...","Health","Jan 17, 2020"
"Tech Conference Organized","Experts discuss innovations...","Technology","Jan 18, 2020"
"Global Economy Trends","Report shows growth patterns...","Business","Jan 19, 2020"
"Wildlife Conservation Efforts","Steps taken to protect animals...","Science","Jan 20, 2020"
"Digital Payments Rise","Online transactions increase...","Business","Jan 21, 2020"
"University Rankings Released","Top institutions listed...","Education","Jan 22, 2020"
"Medical Research Progress","New findings in treatment...","Health","Jan 23, 2020"
"Transport System Improved","New metro line opened...","Politics","Jan 24, 2020"
"Renewable Energy Growth","Solar usage increases...","Science","Jan 25, 2020"
"Tech Jobs Increasing","Demand for developers rises...","Technology","Jan 26, 2020"
"Public Health Campaign","Awareness programs launched...","Health","Jan 27, 2020"
"Budget Announcement","Government presents budget...","Business","Jan 28, 2020"
"Scientific Breakthrough","Researchers publish study...","Science","Jan 29, 2020"
"Urban Development Plans","City expansion projects...","Politics","Jan 30, 2020"
